nohup: ignoring input
app-1  | 2026-09-18T13:04:57.625870966Z 2026-09-18 13:04:57,625 INFO telethon.network.mtprotosender: Connecting to 149.154.167.51:443/TcpFull...
app-1  | 2026-09-18T13:04:57.627180926Z 2026-09-18 13:04:57,627 INFO aiogram.dispatcher: Start polling
app-1  | 2026-09-18T13:04:57.700775124Z 2026-09-18 13:04:57,700 INFO telethon.network.mtprotosender: Connection to 149.154.167.51:443/TcpFull complete!
app-1  | 2026-09-18T13:04:57.708945970Z 2026-09-18 13:04:57,708 INFO aiogram.dispatcher: Run polling for bot @CatiousCryptoBro_bot id=8851129068 - 'CatiousCryptoBro'
app-1  | 2026-09-18T13:04:58.641751989Z 2026-09-18 13:04:58,641 INFO cautious_crypto_bro.telegram_source: Watching Telegram source: -1002132062264
app-1  | 2026-09-18T13:04:58.725685530Z 2026-09-18 13:04:58,725 INFO cautious_crypto_bro.telegram_source: Watching Telegram source: -1002243423111
app-1  | 2026-09-18T13:04:58.815071588Z 2026-09-18 13:04:58,814 INFO cautious_crypto_bro.telegram_source: Watching Telegram source: -1003965967125
app-1  | 2026-09-18T13:04:58.897559049Z 2026-09-18 13:04:58,897 INFO cautious_crypto_bro.telegram_source: Watching Telegram source: -1001262962760
app-1  | 2026-09-18T13:04:58.897593314Z 2026-09-18 13:04:58,897 INFO cautious_crypto_bro.telegram_source: Scanning Telegram history for the previous 5 hour(s)
app-1  | 2026-09-18T13:04:59.261825759Z 2026-09-18 13:04:59,261 INFO cautious_crypto_bro.telegram_source: Startup lookback found 11 message(s) / 6 post(s) in MENSA TRADING
app-1  | 2026-09-18T13:04:59.265542242Z 2026-09-18 13:04:59,265 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
app-1  | 2026-09-18T13:04:59.523681615Z 2026-09-18 13:04:59,523 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
app-1  | 2026-09-18T13:04:59.781898224Z 2026-09-18 13:04:59,781 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
app-1  | 2026-09-18T13:05:00.215074954Z 2026-09-18 13:05:00,214 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
app-1  | 2026-09-18T13:05:00.382954619Z 2026-09-18 13:05:00,382 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
app-1  | 2026-09-18T13:05:00.531721038Z 2026-09-18 13:05:00,531 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
app-1  | 2026-09-18T13:05:00.662868329Z 2026-09-18 13:05:00,662 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
app-1  | 2026-09-18T13:05:01.024876301Z 2026-09-18 13:05:01,024 INFO cautious_crypto_bro.telegram_source: Startup lookback found 8 message(s) / 7 post(s) in Мысли Эмилии
app-1  | 2026-09-18T13:05:01.024911889Z 2026-09-18 13:05:01,024 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
app-1  | 2026-09-18T13:05:02.826168901Z 2026-09-18 13:05:02,825 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/market/time "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:05:02.826344167Z 2026-09-18 13:05:02,826 INFO cautious_crypto_bro.bybit: Bybit clock offset +24412 ms (RTT 1680 ms)
app-1  | 2026-09-18T13:05:03.058725337Z 2026-09-18 13:05:03,058 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/position/list?category=linear&settleCoin=USDT&limit=200 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:05:03.302802031Z 2026-09-18 13:05:03,302 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/position/list?category=linear&settleCoin=USDT&limit=200&cursor=XLMUSDT%252C1789718400113%252C0 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:05:03.855000995Z 2026-09-18 13:05:03,854 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/order/realtime?category=linear&settleCoin=USDT&openOnly=0&limit=50 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:05:04.086410451Z 2026-09-18 13:05:04,085 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/order/realtime?category=linear&settleCoin=USDT&openOnly=0&limit=50&cursor=cc1e57ef-eba0-425f-9027-33d5b834ae0a%253A1789735581015%252C33134651-4d5b-4043-b54c-2a578f32b7a0%253A1789398492436 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:05:06.848725771Z 2026-09-18 13:05:06,848 INFO httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:05:10.091025727Z 2026-09-18 13:05:10,090 INFO cautious_crypto_bro.openrouter: OpenRouter inference for -1002243423111/8016 (1 image(s)) completed in 5.99s on attempt 1/3
app-1  | 2026-09-18T13:05:10.096706960Z 2026-09-18 13:05:10,096 WARNING cautious_crypto_bro.service: Position action REDUCE ZECUSDT remains MANUAL because live position count is 0
app-1  | 2026-09-18T13:05:10.554709686Z 2026-09-18 13:05:10,554 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/position/closed-pnl?category=linear&startTime=1789649713500&endTime=1789736710096&limit=100 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:05:10.789610163Z 2026-09-18 13:05:10,789 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/position/closed-pnl?category=linear&startTime=1789649713500&endTime=1789736710096&limit=100&cursor=3a55e1ce-6245-4df0-899b-69b625af9075%253A1789715877730090586%252C057bd656-3dd5-4eb8-bba5-32e0a4d32d3b%253A1789715874276155948 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:05:11.212070599Z 2026-09-18 13:05:11,211 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
app-1  | 2026-09-18T13:05:11.548280877Z 2026-09-18 13:05:11,548 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
app-1  | 2026-09-18T13:05:11.942088297Z 2026-09-18 13:05:11,941 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/position/list?category=linear&settleCoin=USDT&limit=200 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:05:12.175357119Z 2026-09-18 13:05:12,175 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/position/list?category=linear&settleCoin=USDT&limit=200&cursor=XLMUSDT%252C1789718400113%252C0 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:05:12.417643362Z 2026-09-18 13:05:12,417 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/order/realtime?category=linear&settleCoin=USDT&openOnly=0&limit=50 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:05:12.650049639Z 2026-09-18 13:05:12,649 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/order/realtime?category=linear&settleCoin=USDT&openOnly=0&limit=50&cursor=cc1e57ef-eba0-425f-9027-33d5b834ae0a%253A1789735581015%252C33134651-4d5b-4043-b54c-2a578f32b7a0%253A1789398492436 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:05:15.933994053Z 2026-09-18 13:05:15,933 INFO httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:05:16.621698123Z 2026-09-18 13:05:16,621 INFO cautious_crypto_bro.openrouter: OpenRouter inference for -1002243423111/8017 (2 image(s)) completed in 3.96s on attempt 1/3
app-1  | 2026-09-18T13:05:16.626558198Z 2026-09-18 13:05:16,626 INFO cautious_crypto_bro.openrouter: No actionable intent for -1002243423111/8017: The post contains market commentary and price predictions (BTC below 74k, then 73k) but does not provide an executable trade signal with entry, direction, and stop loss.
app-1  | 2026-09-18T13:05:16.635130079Z 2026-09-18 13:05:16,635 INFO cautious_crypto_bro.telegram_source: Ignoring Telegram message group starting at 8019: no text or supported images
app-1  | 2026-09-18T13:05:16.635202687Z 2026-09-18 13:05:16,635 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
app-1  | 2026-09-18T13:05:16.741040141Z 2026-09-18 13:05:16,740 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
app-1  | 2026-09-18T13:05:16.850363690Z 2026-09-18 13:05:16,850 INFO cautious_crypto_bro.telegram_source: Ignoring Telegram message group starting at 8022: no text or supported images
